site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_wait_cnt|stat_avg_tm|start_time
37|1|5|266297|Direct Reads|17266875000|279.825625|2455712.5|5387500|.608125|750|117.4375|1.65125|09-OCT-14 08.00.00.000000 AM
37|1|5|266303|Streams AQ|12500|.00125|0|0|0|0|19.5|6.189375|09-OCT-14 08.00.00.000000 AM
37|1|5|266304|TOTAL|210000000000|11242.073125|304.98125|10908750000|1281.6275|1551312.5|6685000|.401875|09-OCT-14 08.00.00.000000 AM
37|1|5|266298|Others|4813125000|48.69875|684693.75|1904375000|14.000625|270818.75|190856.25|2.215|09-OCT-14 08.00.00.000000 AM
37|1|5|266299|Smart Scan|98520000000|151.6575|234065.57625|0|0|0|0||09-OCT-14 08.00.00.000000 AM
37|1|5|266301|LGWR|262500|.03|0|3626875000|547.045|515687.5|1107306.25|.3225|09-OCT-14 08.00.00.000000 AM
37|1|5|266302|Direct Writes|51256250|.731875|7106.25|453125000|17.960625|64325|29|10.771875|09-OCT-14 08.00.00.000000 AM
37|1|5|266296|Buffer Cache Reads|91830000000|10761.124375|856434.527125|0|0|0|6555625|.4|09-OCT-14 08.00.00.000000 AM
37|1|4|266298|Others|4353125000|46.96375|618737.5|1880000000|14.11125|267206.25|184087.5|2.191875|08-OCT-14 08.00.00.000000 AM
37|1|4|266302|Direct Writes|45887500|.8025|6368.75|466875000|15.303125|66275|25.9375|4.24625|08-OCT-14 08.00.00.000000 AM
37|1|4|266303|Streams AQ|13333.3333333333333333333333333333333333|.001333333333333333333333333333333333333|0|0|0|0|20.4|5.71333333333333333333333333333333333333|08-OCT-14 08.00.00.000000 AM
37|1|4|266297|Direct Reads|16446875000|281.914375|2337750|5637500|.59625|781.25|113.75|1.1675|08-OCT-14 08.00.00.000000 AM
37|1|4|266296|Buffer Cache Reads|58588125000|9638.2375|8327737.5|0|0|0|6305625|.35875|08-OCT-14 08.00.00.000000 AM
37|1|4|266299|Smart Scan|97250625000|149.381875|3982195.2373125|0|0|0|0||08-OCT-14 08.00.00.000000 AM
37|1|4|266301|LGWR|256250|.030625|6.25|3623750000|550.411875|515050|1117243.75|.3|08-OCT-14 08.00.00.000000 AM
37|1|4|266304|TOTAL|176346875000|10117.33125|5171202.50475|11011250000|1290.953125|1565156.25|6435625|.36375|08-OCT-14 08.00.00.000000 AM
37|1|4|266300|DBWR|37500|.0025|0|5036250000|710.53125|715825|29.0625|.373125|08-OCT-14 08.00.00.000000 AM
37|1|7|266298|Others|4901250000|49.180625|697212.5|1903750000|13.85375|270718.75|187500|2.241875|13-OCT-14 08.00.00.000000 AM
37|1|7|266302|Direct Writes|59687500|.880625|8300|415625000|11.683125|59131.25|133.3125|18.48875|13-OCT-14 08.00.00.000000 AM
37|1|7|266296|Buffer Cache Reads|77305000000|10288.45125|672978.2488125|0|0|0|6579375|.355|13-OCT-14 08.00.00.000000 AM
37|1|7|266301|LGWR|250000|.028125|0|3607500000|565.804375|513400|1151575|.298125|13-OCT-14 08.00.00.000000 AM
37|1|7|266304|TOTAL|199467500000|10790.466875|1888771.5166875|11130000000|1335.62|1583375|6712500|.359375|13-OCT-14 08.00.00.000000 AM
37|1|7|266297|Direct Reads|18445625000|294.909375|2624112.5|4718750|.458125|656.25|111.75|1.021875|13-OCT-14 08.00.00.000000 AM
37|1|7|266299|Smart Scan|101563125000|156.996875|311381.5149375|0|0|0|0||13-OCT-14 08.00.00.000000 AM
37|1|7|266300|DBWR|31250|.00375|0|5196875000|743.82125|739468.75|31.375|.157333333333333333333333333333333333333|13-OCT-14 08.00.00.000000 AM
37|1|7|266303|Streams AQ|100000|.015333333333333333333333333333333333333|13.3333333333333333333333333333333333333|0|0|0|116.733333333333333333333333333333333333|4.218|13-OCT-14 08.00.00.000000 AM
37|1|11|266301|LGWR|225000|.0275|0|3358750000|517.97125|477900|1083375|.261875|17-OCT-14 08.00.00.000000 AM
37|1|11|266298|Others|4525000000|47.87625|643512.5|1793750000|13.870625|255225|182168.75|2.203125|17-OCT-14 08.00.00.000000 AM
37|1|11|266300|DBWR|50000|.006875|0|4728750000|686.0775|672512.5|40.875|.38625|17-OCT-14 08.00.00.000000 AM
37|1|11|266296|Buffer Cache Reads|81050000000|9564.60125|728420.493|0|0|0|5653125|.358125|17-OCT-14 08.00.00.000000 AM
37|1|11|266297|Direct Reads|15133125000|254.179375|2152368.75|5487500|.550625|768.75|106.8125|1.229375|17-OCT-14 08.00.00.000000 AM
37|1|11|266299|Smart Scan|99492500000|153.04375|194648.6404375|0|0|0|0||17-OCT-14 08.00.00.000000 AM
37|1|11|266302|Direct Writes|82700000|1.069375|11493.75|428125000|11.79875|60875|18.875|1.963125|17-OCT-14 08.00.00.000000 AM
37|1|11|266303|Streams AQ|6250|.000625|0|0|0|0|13.6875|5.43375|17-OCT-14 08.00.00.000000 AM
37|1|11|266304|TOTAL|197272500000|10020.80125|5622606.461875|10316250000|1230.268125|1467250|5780000|.363125|17-OCT-14 08.00.00.000000 AM
37|1|12|266303|Streams AQ|423076.923076923076923076923076923076923|.072307692307692307692307692307692307692|61.5384615384615384615384615384615384615|0|0|0|530.461538461538461538461538461538461538|7.22|20-OCT-14 08.00.00.000000 AM
37|1|12|266301|LGWR|250000|.029375|0|3788125000|596.43|539050|1272550|.309375|20-OCT-14 08.00.00.000000 AM
37|1|12|266304|TOTAL|190000000000|11281.54625|1973695.6455|11438125000|1362.111875|1627306.25|6911250|.3625|20-OCT-14 08.00.00.000000 AM
37|1|12|266298|Others|4727500000|45.595625|672512.5|1954375000|12.576875|278062.5|144293.75|1.13875|20-OCT-14 08.00.00.000000 AM
37|1|12|266296|Buffer Cache Reads|85915625000|10809.783125|770052.0308125|0|0|0|6768750|.3625|20-OCT-14 08.00.00.000000 AM
37|1|12|266299|Smart Scan|84338125000|126.4375|261751.391|0|0|0|0||20-OCT-14 08.00.00.000000 AM
37|1|12|266302|Direct Writes|63537500|.960625|8831.25|476875000|16.300625|67950|363.9375|3.839375|20-OCT-14 08.00.00.000000 AM
37|1|12|266297|Direct Reads|18331875000|298.673125|2607831.25|10068750|1.38|1406.25|162.5|1.599375|20-OCT-14 08.00.00.000000 AM
37|1|12|266300|DBWR|12500|.00375|0|5206875000|735.42125|740825|28.75|.604375|20-OCT-14 08.00.00.000000 AM
37|1|9|266299|Smart Scan|101800625000|158.43125|522648.7815|0|0|0|0||15-OCT-14 08.00.00.000000 AM
37|1|9|266302|Direct Writes|63100000|.945625|8762.5|440000000|15.101875|62462.5|21.0625|2.969375|15-OCT-14 08.00.00.000000 AM
37|1|9|266304|TOTAL|193753125000|9391.33125|841835.8615625|11006250000|1322.085625|1565043.75|5665000|.385625|15-OCT-14 08.00.00.000000 AM
37|1|9|266301|LGWR|250000|.028125|0|3534375000|561.675|502543.75|1166862.5|.285|15-OCT-14 08.00.00.000000 AM
37|1|9|266297|Direct Reads|19427500000|318.29|2762700|5312500|.556875|731.25|122.875|1.44|15-OCT-14 08.00.00.000000 AM
37|1|9|266298|Others|5027500000|54.653125|714625|1870625000|13.953125|266093.75|198687.5|2.125625|15-OCT-14 08.00.00.000000 AM
37|1|9|266296|Buffer Cache Reads|69736875000|8858.94625|7990250.50675|0|0|0|5528125|.380625|15-OCT-14 08.00.00.000000 AM
37|1|9|266303|Streams AQ|218750|.034375|25|0|0|0|257.125|5.906875|15-OCT-14 08.00.00.000000 AM
37|1|9|266300|DBWR|25000|.000625|0|5156875000|730.8|733218.75|23.4375|.308125|15-OCT-14 08.00.00.000000 AM
37|1|8|266297|Direct Reads|19970000000|320.6075|2840168.75|10993750|.576875|1525|155.75|1.04125|14-OCT-14 08.00.00.000000 AM
37|1|8|266300|DBWR|31250|.00375|0|5115000000|731.778125|727475|27.9375|.3475|14-OCT-14 08.00.00.000000 AM
37|1|8|266303|Streams AQ|25000|.0025|0|0|0|0|22.0625|5.6675|14-OCT-14 08.00.00.000000 AM
37|1|8|266296|Buffer Cache Reads|71452500000|9192.876875|5555333.5741875|0|0|0|5793750|.356875|14-OCT-14 08.00.00.000000 AM
37|1|8|266299|Smart Scan|98953125000|152.109375|238672.297|0|0|0|0||14-OCT-14 08.00.00.000000 AM
37|1|8|266298|Others|4753750000|49.18875|675956.25|1845625000|13.89625|262568.75|185550|2.155625|14-OCT-14 08.00.00.000000 AM
37|1|8|266304|TOTAL|193509375000|9715.9375|280.328|10822500000|1315.703125|1539375|5929375|.36125|14-OCT-14 08.00.00.000000 AM
37|1|8|266301|LGWR|243750|.0275|0|3425625000|552.235625|487156.25|1151200|.2725|14-OCT-14 08.00.00.000000 AM
