site_id|config_id|run_id|inst_id|stat_id|stat_name|undo_ts_num|num_undo_blocks|num_trans|max_qry_lens|max_tx_concurcy|min_tr|max_tr|snap_too_old_cnt|out_of_space_cnt|unexpired_stolen|unexpired_rel|unexpired_reused|expired_stolen|expired_rel|expired_reused|start_time
37|1|64|13|266626|undo segment|67|342.61|1090652|1400|19|181|181|0|0|0|0|0|0|0|0|07-JAN-15 08.00.00.000000 AM
37|1|71|8|266626|undo segment|34|229.93|849244|1877|21|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|12|266626|undo segment|66|245.21|838996|1959|18|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|2|266626|undo segment|28|278.16|831993|1855|21|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|9|266626|undo segment|63|249.35|803218|1843|18|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|15|266626|undo segment|69|238.52|845880|1983|20|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|3|266626|undo segment|35|247.67|865244|1758|24|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|7|266626|undo segment|33|258.26|846675|1919|33|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|69|3|266626|undo segment|35|412.6|1174781|1863|34|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|11|266626|undo segment|65|408.38|1188296|1730|22|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|71|1|266626|undo segment|27|239.29|840902|26024|20|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|4|266626|undo segment|30|213.39|773396|1836|19|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|68|11|266626|undo segment|65|400.06|1323965|1929|19|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|12|266626|undo segment|66|387.48|1170743|1881|26|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|16|266626|undo segment|70|405.6|1281688|1922|27|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|13|266626|undo segment|67|371.2|1132910|1888|20|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|7|266626|undo segment|33|426.05|1140062|1916|22|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|10|266626|undo segment|64|415.15|1163911|2071|33|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|5|266626|undo segment|31|393.24|1142698|1763|38|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|15|266626|undo segment|69|440.71|1182009|1784|33|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|8|266626|undo segment|34|387.27|1123103|1817|21|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|14|266626|undo segment|68|377.95|1204148|1829|32|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|69|1|266626|undo segment|27|437.67|1184749|1842|35|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|5|266626|undo segment|31|416.62|1163161|1861|23|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|10|266626|undo segment|64|425.1|1193091|2394|39|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|9|266626|undo segment|63|2288.3|1430585|2112|22|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|13|266626|undo segment|67|436.52|1158573|1851|19|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|4|266626|undo segment|30|442.42|1186750|1507|26|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|15|266626|undo segment|69|417.87|1206954|1835|33|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|7|266626|undo segment|33|407.15|1139580|2526|84|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|6|266626|undo segment|32|432.29|1197818|1870|24|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|14|266626|undo segment|68|398.41|1178547|1948|36|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|16|266626|undo segment|70|410.36|1305897|1928|22|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|8|266626|undo segment|34|410.12|1147532|1888|21|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|70|9|266626|undo segment|63|370.48|1040104|1718|25|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|1|266626|undo segment|27|393.68|1109661|1646|29|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|3|266626|undo segment|35|376.21|1078342|1950|23|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|4|266626|undo segment|30|398.28|1102506|1827|42|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|15|266626|undo segment|69|362.6|1110770|1685|35|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|2|266626|undo segment|28|457.01|1071346|1741|45|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|5|266626|undo segment|31|344.26|1076969|1815|43|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|12|266626|undo segment|66|373.47|1113324|1867|23|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|6|266626|undo segment|32|380.54|1119627|1899|25|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|14|266626|undo segment|68|391.41|1155175|1812|38|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|10|266626|undo segment|64|389.93|1182323|1774|28|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|7|266626|undo segment|33|360.98|1062131|1887|21|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|71|6|266626|undo segment|32|232.58|828770|3272|111|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|5|266626|undo segment|31|226.68|834376|1941|20|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|10|266626|undo segment|64|259.93|849887|1875|17|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|13|266626|undo segment|67|211.25|797899|1917|40|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|11|266626|undo segment|65|242.03|976137|1702|17|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|16|266626|undo segment|70|226.63|799568|1870|17|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|71|14|266626|undo segment|68|263.09|900274|1820|19|181|181|0|0|0|0|0|0|0|0|19-JAN-15 08.00.00.000000 AM
37|1|68|1|266626|undo segment|27|393.1|1161040|1818|32|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|2|266626|undo segment|28|451.14|1127725|1863|20|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|4|266626|undo segment|30|509.12|1180527|1930|20|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|6|266626|undo segment|32|1041.54|1269392|1865|35|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|3|266626|undo segment|35|451.21|1167492|1825|21|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|9|266626|undo segment|63|2127.99|1472459|1896|49|181|181|0|0|0|0|0|0|0|0|13-JAN-15 08.00.00.000000 AM
37|1|70|16|266626|undo segment|70|398.73|1194437|1921|29|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|11|266626|undo segment|65|370.04|1234301|1774|26|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|8|266626|undo segment|34|406.97|1090722|1679|28|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|70|13|266626|undo segment|67|374.7|1071746|1861|25|181|181|0|0|0|0|0|0|0|0|15-JAN-15 08.00.00.000000 AM
37|1|69|2|266626|undo segment|28|535.82|1136657|1774|21|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|69|12|266626|undo segment|66|396.74|1156959|2203|21|181|181|0|0|0|0|0|0|0|0|14-JAN-15 08.00.00.000000 AM
37|1|77|3|266626|undo segment|35|488.4|1111051|1749|32|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|5|266626|undo segment|31|391.04|1113134|1955|30|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|75|10|266626|undo segment|64|407.33|1119288|1768|180|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
37|1|75|4|266626|undo segment|30|319.14|950941|1553|163|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
37|1|75|7|266626|undo segment|33|380.34|1146081|1779|219|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
37|1|75|3|266626|undo segment|35|386.17|1137786|1907|139|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
37|1|75|15|266626|undo segment|69|463.45|1221650|1864|133|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
37|1|75|13|266626|undo segment|67|358.64|1039061|1840|144|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
37|1|75|11|266626|undo segment|65|487.92|1281045|1796|157|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
37|1|75|8|266626|undo segment|34|432.71|1130278|1844|155|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
37|1|76|12|266626|undo segment|66|320.29|873954|3531|170|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|3|266626|undo segment|35|407.22|1099025|1933|152|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|6|266626|undo segment|32|383.74|1163609|1837|139|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|9|266626|undo segment|63|234.97|638100|1753|48|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|5|266626|undo segment|31|370.52|1128015|1692|189|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|4|266626|undo segment|30|405.71|1125140|1909|85|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|8|266626|undo segment|34|413.37|1165915|1926|158|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|77|1|266626|undo segment|27|495.47|1132403|1744|54|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|7|266626|undo segment|33|409.47|1076411|1834|45|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|16|266626|undo segment|70|493.72|1195149|1919|42|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|2|266626|undo segment|28|459.71|1073086|2351|35|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|14|266626|undo segment|68|398.39|1112834|1730|32|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|4|266626|undo segment|30|410.87|1099356|1744|37|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|13|266626|undo segment|67|401.03|1067130|1853|36|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|8|266626|undo segment|34|450.34|1095090|1985|30|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|9|266626|undo segment|63|424.85|1054531|1766|37|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|11|266626|undo segment|65|404.54|1182057|2445|29|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|77|12|266626|undo segment|66|452.71|1103346|1906|31|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|76|16|266626|undo segment|70|202.06|722873|1830|32|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|7|266626|undo segment|33|415.12|1181693|1809|55|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
