site_id|config_id|run_id|stat_id|stat_name|stat_value|start_time
37|1|20|266339|Buffer access - remote cache %|1.58|30-OCT-14 08.00.00.000000 AM
37|1|20|266340|Buffer access -	       disk %|4.16|30-OCT-14 08.00.00.000000 AM
37|1|22|266338|Buffer access -	local cache %|93.8|03-NOV-14 08.00.00.000000 AM
37|1|22|266340|Buffer access -	       disk %|4.49|03-NOV-14 08.00.00.000000 AM
37|1|22|266339|Buffer access - remote cache %|1.72|03-NOV-14 08.00.00.000000 AM
37|1|24|266338|Buffer access -	local cache %|94.43|05-NOV-14 08.00.00.000000 AM
37|1|24|266340|Buffer access -	       disk %|3.96|05-NOV-14 08.00.00.000000 AM
37|1|24|266339|Buffer access - remote cache %|1.61|05-NOV-14 08.00.00.000000 AM
37|1|25|266338|Buffer access -	local cache %|94.24|06-NOV-14 08.00.00.000000 AM
37|1|25|266339|Buffer access - remote cache %|1.6|06-NOV-14 08.00.00.000000 AM
37|1|25|266340|Buffer access -	       disk %|4.16|06-NOV-14 08.00.00.000000 AM
37|1|23|266339|Buffer access - remote cache %|1.63|04-NOV-14 08.00.00.000000 AM
37|1|23|266340|Buffer access -	       disk %|3.95|04-NOV-14 08.00.00.000000 AM
37|1|23|266338|Buffer access -	local cache %|94.41|04-NOV-14 08.00.00.000000 AM
37|1|26|266338|Buffer access -	local cache %|93.78|10-NOV-14 08.00.00.000000 AM
37|1|26|266339|Buffer access - remote cache %|1.79|10-NOV-14 08.00.00.000000 AM
37|1|26|266340|Buffer access -	       disk %|4.44|10-NOV-14 08.00.00.000000 AM
37|1|27|266338|Buffer access -	local cache %|94|11-NOV-14 08.00.00.000000 AM
37|1|27|266339|Buffer access - remote cache %|1.61|11-NOV-14 08.00.00.000000 AM
37|1|27|266340|Buffer access -	       disk %|4.39|11-NOV-14 08.00.00.000000 AM
37|1|28|266338|Buffer access -	local cache %|94.14|12-NOV-14 08.00.00.000000 AM
37|1|28|266340|Buffer access -	       disk %|4.3|12-NOV-14 08.00.00.000000 AM
37|1|28|266339|Buffer access - remote cache %|1.56|12-NOV-14 08.00.00.000000 AM
37|1|29|266338|Buffer access -	local cache %|94.38|13-NOV-14 08.00.00.000000 AM
37|1|29|266339|Buffer access - remote cache %|1.57|13-NOV-14 08.00.00.000000 AM
37|1|29|266340|Buffer access -	       disk %|4.05|13-NOV-14 08.00.00.000000 AM
37|1|30|266339|Buffer access - remote cache %|1.64|14-NOV-14 08.00.00.000000 AM
37|1|30|266340|Buffer access -	       disk %|4.39|14-NOV-14 08.00.00.000000 AM
37|1|30|266338|Buffer access -	local cache %|93.97|14-NOV-14 08.00.00.000000 AM
37|1|31|266339|Buffer access - remote cache %|1.72|17-NOV-14 08.00.00.000000 AM
37|1|31|266340|Buffer access -	       disk %|4.56|17-NOV-14 08.00.00.000000 AM
37|1|31|266338|Buffer access -	local cache %|93.71|17-NOV-14 08.00.00.000000 AM
37|1|35|266338|Buffer access -	local cache %|93.85|21-NOV-14 08.00.00.000000 AM
37|1|35|266340|Buffer access -	       disk %|4.46|21-NOV-14 08.00.00.000000 AM
37|1|35|266339|Buffer access - remote cache %|1.69|21-NOV-14 08.00.00.000000 AM
37|1|36|266339|Buffer access - remote cache %|1.64|24-NOV-14 08.00.00.000000 AM
37|1|36|266340|Buffer access -	       disk %|4.79|24-NOV-14 08.00.00.000000 AM
37|1|36|266338|Buffer access -	local cache %|93.57|24-NOV-14 08.00.00.000000 AM
37|1|32|266340|Buffer access -	       disk %|3.16|18-NOV-14 08.00.00.000000 AM
37|1|32|266338|Buffer access -	local cache %|95.17|18-NOV-14 08.00.00.000000 AM
37|1|32|266339|Buffer access - remote cache %|1.67|18-NOV-14 08.00.00.000000 AM
37|1|33|266338|Buffer access -	local cache %|94.57|19-NOV-14 08.00.00.000000 AM
37|1|33|266340|Buffer access -	       disk %|3.8|19-NOV-14 08.00.00.000000 AM
37|1|33|266339|Buffer access - remote cache %|1.64|19-NOV-14 08.00.00.000000 AM
37|1|34|266338|Buffer access -	local cache %|94.68|20-NOV-14 08.00.00.000000 AM
37|1|34|266339|Buffer access - remote cache %|1.57|20-NOV-14 08.00.00.000000 AM
37|1|34|266340|Buffer access -	       disk %|3.75|20-NOV-14 08.00.00.000000 AM
37|1|37|266339|Buffer access - remote cache %|1.58|25-NOV-14 08.00.00.000000 AM
37|1|37|266340|Buffer access -	       disk %|4.11|25-NOV-14 08.00.00.000000 AM
37|1|37|266338|Buffer access -	local cache %|94.31|25-NOV-14 08.00.00.000000 AM
37|1|38|266338|Buffer access -	local cache %|94.1|26-NOV-14 08.00.00.000000 AM
37|1|38|266339|Buffer access - remote cache %|1.6|26-NOV-14 08.00.00.000000 AM
37|1|38|266340|Buffer access -	       disk %|4.3|26-NOV-14 08.00.00.000000 AM
37|1|39|266339|Buffer access - remote cache %|1.69|27-NOV-14 08.00.00.000000 AM
37|1|39|266340|Buffer access -	       disk %|4.02|27-NOV-14 08.00.00.000000 AM
37|1|39|266338|Buffer access -	local cache %|94.29|27-NOV-14 08.00.00.000000 AM
37|1|43|266338|Buffer access -	local cache %|94|05-DEC-14 08.00.00.000000 AM
37|1|43|266340|Buffer access -	       disk %|4.38|05-DEC-14 08.00.00.000000 AM
37|1|43|266339|Buffer access - remote cache %|1.63|05-DEC-14 08.00.00.000000 AM
37|1|44|266338|Buffer access -	local cache %|93.9|08-DEC-14 08.00.00.000000 AM
37|1|44|266339|Buffer access - remote cache %|1.59|08-DEC-14 08.00.00.000000 AM
37|1|44|266340|Buffer access -	       disk %|4.51|08-DEC-14 08.00.00.000000 AM
37|1|41|266338|Buffer access -	local cache %|93.92|03-DEC-14 08.00.00.000000 AM
