site_id|config_id|run_id|stat_id|stat_name|stat_total|stat_lessonems|stat_lesstenms|stat_lesshunms|stat_lessones|stat_lesstens|start_time
37|1|21|266485|Pins|390454|89.3|9.95|.75|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266486|Flushes|914139|75.01|23.32|1.66|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266487|Writes|13481705|6.42|34.97|58.4|.21|0|31-OCT-14 08.00.00.000000 AM
37|1|19|266485|Pins|542958|85.02|13.46|1.51|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|266487|Writes|15638086|6.39|34.29|59.02|.29|0|29-OCT-14 08.00.00.000000 AM
37|1|19|266486|Flushes|989288|70.22|27.69|2.08|0|0|29-OCT-14 08.00.00.000000 AM
37|1|18|266485|Pins|466254|85.12|12.93|1.95|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|266487|Writes|15846590|5.88|33.23|60.39|.49|0|28-OCT-14 08.00.00.000000 AM
37|1|18|266486|Flushes|969741|69.83|27.89|2.28|0|0|28-OCT-14 08.00.00.000000 AM
37|1|20|266486|Flushes|960331|69.22|28.45|2.34|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|266485|Pins|457032|85.32|13.26|1.42|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|266487|Writes|16325245|6.22|33.32|60.14|.32|0|30-OCT-14 08.00.00.000000 AM
37|1|22|266487|Writes|15457849|5.97|34.29|59.43|.3|0|03-NOV-14 08.00.00.000000 AM
37|1|22|266485|Pins|569345|84.08|14.8|1.12|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|266486|Flushes|1024221|69.82|27.94|2.24|0|0|03-NOV-14 08.00.00.000000 AM
37|1|24|266485|Pins|520049|87.95|11.24|.8|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|266487|Writes|14983041|6.41|33.05|60.25|.28|0|05-NOV-14 08.00.00.000000 AM
37|1|24|266486|Flushes|979697|73|25.07|1.92|0|0|05-NOV-14 08.00.00.000000 AM
37|1|25|266487|Writes|14481634|6.5|33.59|59.53|.39|0|06-NOV-14 08.00.00.000000 AM
37|1|25|266486|Flushes|978578|72.09|25.85|2.06|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|266485|Pins|534739|88.41|10.89|.7|0|0|06-NOV-14 08.00.00.000000 AM
37|1|23|266487|Writes|14975592|6.21|33.78|59.66|.35|0|04-NOV-14 08.00.00.000000 AM
37|1|23|266485|Pins|3337223|92.23|7.3|.44|.02|.02|04-NOV-14 08.00.00.000000 AM
37|1|23|266486|Flushes|1684995|74.66|23.62|1.72|0|0|04-NOV-14 08.00.00.000000 AM
37|1|26|266486|Flushes|1019191|70.08|27.55|2.37|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|266485|Pins|552246|83.69|14.94|1.37|.01|0|10-NOV-14 08.00.00.000000 AM
37|1|26|266487|Writes|16238516|5.73|34.26|59.75|.26|0|10-NOV-14 08.00.00.000000 AM
37|1|27|266486|Flushes|974239|71.46|26.55|1.99|0|0|11-NOV-14 08.00.00.000000 AM
37|1|27|266487|Writes|14528328|6.28|34.25|59.25|.22|0|11-NOV-14 08.00.00.000000 AM
37|1|27|266485|Pins|509983|85.67|13.26|1.06|0|0|11-NOV-14 08.00.00.000000 AM
37|1|28|266487|Writes|14905761|6.37|32.68|60.7|.24|0|12-NOV-14 08.00.00.000000 AM
37|1|28|266486|Flushes|953026|71.33|26.44|2.24|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|266485|Pins|412594|87.94|10.8|1.26|0|0|12-NOV-14 08.00.00.000000 AM
37|1|29|266485|Pins|392347|88.02|10.83|1.15|0|0|13-NOV-14 08.00.00.000000 AM
37|1|29|266486|Flushes|964295|72.44|25.38|2.18|0|0|13-NOV-14 08.00.00.000000 AM
37|1|29|266487|Writes|14700596|6.22|33.15|60.27|.36|0|13-NOV-14 08.00.00.000000 AM
37|1|30|266487|Writes|13985716|6.02|32.52|60.95|.51|.01|14-NOV-14 08.00.00.000000 AM
37|1|30|266485|Pins|388624|88.32|10.79|.89|0|0|14-NOV-14 08.00.00.000000 AM
37|1|30|266486|Flushes|925509|74.74|23.54|1.72|0|0|14-NOV-14 08.00.00.000000 AM
37|1|31|266487|Writes|15551001|5.77|32.86|61.09|.27|0|17-NOV-14 08.00.00.000000 AM
37|1|31|266485|Pins|535038|85.51|13.22|1.26|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|266486|Flushes|1051134|69.8|27.9|2.3|0|0|17-NOV-14 08.00.00.000000 AM
37|1|35|266486|Flushes|914455|75.2|23.16|1.65|0|0|21-NOV-14 08.00.00.000000 AM
37|1|35|266487|Writes|13695525|6.79|35.61|57.2|.4|0|21-NOV-14 08.00.00.000000 AM
37|1|35|266485|Pins|318832|87.4|11.61|.99|.01|0|21-NOV-14 08.00.00.000000 AM
37|1|36|266486|Flushes|1000908|70.57|27.19|2.24|0|0|24-NOV-14 08.00.00.000000 AM
37|1|36|266485|Pins|426437|84.64|13.88|1.48|0|0|24-NOV-14 08.00.00.000000 AM
37|1|36|266487|Writes|15735649|5.84|33.63|60.3|.22|0|24-NOV-14 08.00.00.000000 AM
37|1|32|266485|Pins|486212|86.42|12.57|1.01|0|0|18-NOV-14 08.00.00.000000 AM
37|1|32|266487|Writes|15598854|6|34.4|59.2|.4|0|18-NOV-14 08.00.00.000000 AM
37|1|32|266486|Flushes|978253|72.17|25.86|1.97|0|0|18-NOV-14 08.00.00.000000 AM
37|1|33|266487|Writes|15609799|6.65|34.9|58.16|.29|0|19-NOV-14 08.00.00.000000 AM
37|1|33|266485|Pins|425168|87.93|11.13|.95|0|0|19-NOV-14 08.00.00.000000 AM
37|1|33|266486|Flushes|976178|72.21|25.85|1.94|0|0|19-NOV-14 08.00.00.000000 AM
37|1|34|266485|Pins|493794|84.06|14.74|1.2|0|0|20-NOV-14 08.00.00.000000 AM
37|1|34|266486|Flushes|959241|73.16|24.87|1.97|0|0|20-NOV-14 08.00.00.000000 AM
37|1|34|266487|Writes|14517425|6.44|34.03|59.15|.38|0|20-NOV-14 08.00.00.000000 AM
37|1|37|266485|Pins|422586|86.58|12.32|1.1|0|0|25-NOV-14 08.00.00.000000 AM
37|1|37|266487|Writes|14234698|6.3|34.26|59.12|.31|0|25-NOV-14 08.00.00.000000 AM
37|1|37|266486|Flushes|1003704|73.88|24.25|1.87|0|0|25-NOV-14 08.00.00.000000 AM
37|1|38|266487|Writes|13674397|6.76|36.1|56.93|.21|0|26-NOV-14 08.00.00.000000 AM
37|1|38|266485|Pins|325275|89.93|9.26|.81|0|0|26-NOV-14 08.00.00.000000 AM
37|1|38|266486|Flushes|917663|76.56|21.91|1.53|0|0|26-NOV-14 08.00.00.000000 AM
37|1|39|266485|Pins|280071|93.49|6.16|.35|0|0|27-NOV-14 08.00.00.000000 AM
37|1|39|266486|Flushes|949656|89.43|10.15|.42|0|0|27-NOV-14 08.00.00.000000 AM
37|1|39|266487|Writes|8127270|9.37|45.82|44.65|.16|0|27-NOV-14 08.00.00.000000 AM
37|1|44|266487|Writes|15283774|6.13|34.66|58.99|.22|0|08-DEC-14 08.00.00.000000 AM
37|1|44|266485|Pins|473671|86.48|12.38|1.14|0|0|08-DEC-14 08.00.00.000000 AM
37|1|44|266486|Flushes|986746|71.6|26.28|2.12|0|0|08-DEC-14 08.00.00.000000 AM
37|1|42|266487|Writes|14768200|6.13|32.99|60.53|.34|0|04-DEC-14 08.00.00.000000 AM
37|1|42|266486|Flushes|929015|72.24|25.74|2.02|0|0|04-DEC-14 08.00.00.000000 AM
37|1|42|266485|Pins|431764|87.88|11.06|1.06|0|0|04-DEC-14 08.00.00.000000 AM
37|1|43|266487|Writes|13287888|6.11|33.36|60.11|.42|0|05-DEC-14 08.00.00.000000 AM
37|1|43|266486|Flushes|900634|75.79|22.49|1.72|0|0|05-DEC-14 08.00.00.000000 AM
37|1|43|266485|Pins|345564|89.21|9.9|.89|0|0|05-DEC-14 08.00.00.000000 AM
37|1|40|266486|Flushes|1014699|71.36|26.46|2.18|0|0|02-DEC-14 08.00.00.000000 AM
37|1|40|266487|Writes|14867472|5.97|32.32|61.4|.31|0|02-DEC-14 08.00.00.000000 AM
37|1|40|266485|Pins|493185|86.24|12.18|1.57|0|0|02-DEC-14 08.00.00.000000 AM
37|1|41|266486|Flushes|957141|73.48|24.64|1.88|0|0|03-DEC-14 08.00.00.000000 AM
37|1|41|266487|Writes|14307635|6.47|33.97|59.28|.27|0|03-DEC-14 08.00.00.000000 AM
37|1|41|266485|Pins|421346|87.9|10.87|1.22|0|0|03-DEC-14 08.00.00.000000 AM
37|1|47|266487|Writes|13012063|6.73|35.46|57.51|.3|0|12-DEC-14 08.00.00.000000 AM
37|1|47|266485|Pins|423207|89.59|9.49|.91|0|0|12-DEC-14 08.00.00.000000 AM
37|1|47|266486|Flushes|1009654|76.19|22.19|1.61|0|0|12-DEC-14 08.00.00.000000 AM
37|1|45|266486|Flushes|972487|74.59|23.59|1.83|0|0|09-DEC-14 08.00.00.000000 AM
37|1|45|266485|Pins|400790|88.23|10.76|1.01|0|0|09-DEC-14 08.00.00.000000 AM
37|1|45|266487|Writes|14623311|6.21|33.46|60.07|.26|0|09-DEC-14 08.00.00.000000 AM
37|1|48|266485|Pins|496743|85.37|13.45|1.19|0|0|15-DEC-14 08.00.00.000000 AM
37|1|48|266486|Flushes|1027479|71.47|26.43|2.11|0|0|15-DEC-14 08.00.00.000000 AM
37|1|48|266487|Writes|15062740|6.02|32.75|60.96|.26|.01|15-DEC-14 08.00.00.000000 AM
37|1|46|266486|Flushes|951059|72.22|25.65|2.13|0|0|11-DEC-14 08.00.00.000000 AM
37|1|46|266485|Pins|425409|87.78|11.2|1.03|0|0|11-DEC-14 08.00.00.000000 AM
37|1|46|266487|Writes|14594532|6.32|33.58|59.68|.42|0|11-DEC-14 08.00.00.000000 AM
37|1|53|266485|Pins|506782|89.76|9.52|.72|0|0|22-DEC-14 08.00.00.000000 AM
37|1|53|266486|Flushes|1047203|77.61|20.91|1.49|0|0|22-DEC-14 08.00.00.000000 AM
37|1|53|266487|Writes|12869542|6.67|35.99|57.14|.21|0|22-DEC-14 08.00.00.000000 AM
37|1|49|266485|Pins|444795|87.49|11.39|1.12|0|0|16-DEC-14 08.00.00.000000 AM
37|1|49|266486|Flushes|966037|72.69|25.34|1.96|0|0|16-DEC-14 08.00.00.000000 AM
37|1|49|266487|Writes|14478628|6.23|33.01|60.5|.26|0|16-DEC-14 08.00.00.000000 AM
37|1|50|266485|Pins|421157|90.09|9.14|.77|0|0|17-DEC-14 08.00.00.000000 AM
