site_id|config_id|run_id|stat_id|stat_usedby|stat_send_mbytes_sec|stat_rvd_mbytes_sec|start_time
37|1|16|266568|Other|.05|.05|24-OCT-14 08.00.00.000000 AM
37|1|16|266565|Parallel Query|.02|.02|24-OCT-14 08.00.00.000000 AM
37|1|16|266567|DB Streams|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266564|Global Cache|34.12|34.09|24-OCT-14 08.00.00.000000 AM
37|1|13|266566|DB Locks|10.35|10.36|21-OCT-14 08.00.00.000000 AM
37|1|13|266564|Global Cache|37.29|37.26|21-OCT-14 08.00.00.000000 AM
37|1|13|266565|Parallel Query|.01|.01|21-OCT-14 08.00.00.000000 AM
37|1|13|266567|DB Streams|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266568|Other|.05|.05|21-OCT-14 08.00.00.000000 AM
37|1|14|266565|Parallel Query|.02|.02|22-OCT-14 08.00.00.000000 AM
37|1|14|266567|DB Streams|0|0|22-OCT-14 08.00.00.000000 AM
37|1|14|266568|Other|.05|.04|22-OCT-14 08.00.00.000000 AM
37|1|14|266566|DB Locks|9.39|9.4|22-OCT-14 08.00.00.000000 AM
37|1|14|266564|Global Cache|34.05|34.03|22-OCT-14 08.00.00.000000 AM
37|1|15|266567|DB Streams|0|0|23-OCT-14 08.00.00.000000 AM
37|1|15|266565|Parallel Query|.01|.01|23-OCT-14 08.00.00.000000 AM
37|1|15|266566|DB Locks|9.76|9.77|23-OCT-14 08.00.00.000000 AM
37|1|15|266564|Global Cache|34.96|34.93|23-OCT-14 08.00.00.000000 AM
37|1|15|266568|Other|.05|.05|23-OCT-14 08.00.00.000000 AM
37|1|21|266564|Global Cache|34.84|34.82|31-OCT-14 08.00.00.000000 AM
37|1|21|266568|Other|.05|.04|31-OCT-14 08.00.00.000000 AM
37|1|21|266566|DB Locks|9.58|9.59|31-OCT-14 08.00.00.000000 AM
37|1|21|266567|DB Streams|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266565|Parallel Query|.02|.02|31-OCT-14 08.00.00.000000 AM
37|1|19|266567|DB Streams|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|266566|DB Locks|10.46|10.47|29-OCT-14 08.00.00.000000 AM
37|1|19|266568|Other|.05|.05|29-OCT-14 08.00.00.000000 AM
37|1|19|266565|Parallel Query|.02|.02|29-OCT-14 08.00.00.000000 AM
37|1|19|266564|Global Cache|39.12|39.09|29-OCT-14 08.00.00.000000 AM
37|1|18|266564|Global Cache|39.57|39.54|28-OCT-14 08.00.00.000000 AM
37|1|18|266565|Parallel Query|.01|.02|28-OCT-14 08.00.00.000000 AM
37|1|18|266567|DB Streams|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|266566|DB Locks|10.71|10.73|28-OCT-14 08.00.00.000000 AM
37|1|18|266568|Other|.05|.05|28-OCT-14 08.00.00.000000 AM
37|1|20|266567|DB Streams|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|266568|Other|.05|.05|30-OCT-14 08.00.00.000000 AM
37|1|20|266566|DB Locks|10.47|10.49|30-OCT-14 08.00.00.000000 AM
37|1|20|266564|Global Cache|38.99|38.96|30-OCT-14 08.00.00.000000 AM
37|1|20|266565|Parallel Query|.01|.01|30-OCT-14 08.00.00.000000 AM
37|1|22|266564|Global Cache|39.28|39.24|03-NOV-14 08.00.00.000000 AM
37|1|22|266568|Other|.05|.05|03-NOV-14 08.00.00.000000 AM
37|1|22|266565|Parallel Query|.02|.02|03-NOV-14 08.00.00.000000 AM
37|1|22|266566|DB Locks|10.69|10.7|03-NOV-14 08.00.00.000000 AM
37|1|22|266567|DB Streams|0|0|03-NOV-14 08.00.00.000000 AM
37|1|24|266565|Parallel Query|.02|.02|05-NOV-14 08.00.00.000000 AM
37|1|24|266567|DB Streams|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|266566|DB Locks|10|10.02|05-NOV-14 08.00.00.000000 AM
37|1|24|266564|Global Cache|36.86|36.83|05-NOV-14 08.00.00.000000 AM
37|1|24|266568|Other|.05|.05|05-NOV-14 08.00.00.000000 AM
37|1|25|266564|Global Cache|36.25|36.22|06-NOV-14 08.00.00.000000 AM
37|1|25|266566|DB Locks|9.88|9.89|06-NOV-14 08.00.00.000000 AM
37|1|25|266567|DB Streams|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|266568|Other|.05|.05|06-NOV-14 08.00.00.000000 AM
37|1|25|266565|Parallel Query|.02|.02|06-NOV-14 08.00.00.000000 AM
37|1|23|266567|DB Streams|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|266568|Other|.07|.08|04-NOV-14 08.00.00.000000 AM
37|1|23|266564|Global Cache|37.78|37.75|04-NOV-14 08.00.00.000000 AM
37|1|23|266565|Parallel Query|.04|.04|04-NOV-14 08.00.00.000000 AM
37|1|23|266566|DB Locks|10.35|10.36|04-NOV-14 08.00.00.000000 AM
37|1|26|266565|Parallel Query|.03|.03|10-NOV-14 08.00.00.000000 AM
37|1|26|266568|Other|.05|.05|10-NOV-14 08.00.00.000000 AM
37|1|26|266566|DB Locks|10.75|10.76|10-NOV-14 08.00.00.000000 AM
37|1|26|266567|DB Streams|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|266564|Global Cache|39.76|39.73|10-NOV-14 08.00.00.000000 AM
37|1|27|266566|DB Locks|9.8|9.81|11-NOV-14 08.00.00.000000 AM
37|1|27|266564|Global Cache|36.16|36.12|11-NOV-14 08.00.00.000000 AM
37|1|27|266567|DB Streams|0|0|11-NOV-14 08.00.00.000000 AM
37|1|27|266565|Parallel Query|.02|.02|11-NOV-14 08.00.00.000000 AM
37|1|27|266568|Other|.05|.04|11-NOV-14 08.00.00.000000 AM
37|1|28|266564|Global Cache|35.84|35.82|12-NOV-14 08.00.00.000000 AM
37|1|28|266565|Parallel Query|.02|.02|12-NOV-14 08.00.00.000000 AM
37|1|28|266566|DB Locks|9.91|9.92|12-NOV-14 08.00.00.000000 AM
37|1|28|266567|DB Streams|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|266568|Other|.05|.05|12-NOV-14 08.00.00.000000 AM
37|1|29|266568|Other|.05|.04|13-NOV-14 08.00.00.000000 AM
37|1|29|266566|DB Locks|9.94|9.94|13-NOV-14 08.00.00.000000 AM
37|1|29|266564|Global Cache|36.03|36.01|13-NOV-14 08.00.00.000000 AM
37|1|29|266565|Parallel Query|.02|.02|13-NOV-14 08.00.00.000000 AM
37|1|29|266567|DB Streams|0|0|13-NOV-14 08.00.00.000000 AM
37|1|30|266565|Parallel Query|.02|.02|14-NOV-14 08.00.00.000000 AM
37|1|30|266566|DB Locks|9.51|9.52|14-NOV-14 08.00.00.000000 AM
37|1|30|266568|Other|.05|.04|14-NOV-14 08.00.00.000000 AM
37|1|30|266564|Global Cache|33.89|33.87|14-NOV-14 08.00.00.000000 AM
37|1|30|266567|DB Streams|0|0|14-NOV-14 08.00.00.000000 AM
37|1|31|266568|Other|.05|.04|17-NOV-14 08.00.00.000000 AM
37|1|31|266564|Global Cache|39.13|39.09|17-NOV-14 08.00.00.000000 AM
37|1|31|266565|Parallel Query|.02|.02|17-NOV-14 08.00.00.000000 AM
37|1|31|266566|DB Locks|10.75|10.76|17-NOV-14 08.00.00.000000 AM
37|1|31|266567|DB Streams|0|0|17-NOV-14 08.00.00.000000 AM
37|1|35|266565|Parallel Query|.02|.02|21-NOV-14 08.00.00.000000 AM
37|1|35|266566|DB Locks|9.33|9.34|21-NOV-14 08.00.00.000000 AM
37|1|35|266564|Global Cache|34.32|34.29|21-NOV-14 08.00.00.000000 AM
37|1|35|266568|Other|.05|.04|21-NOV-14 08.00.00.000000 AM
37|1|35|266567|DB Streams|0|0|21-NOV-14 08.00.00.000000 AM
37|1|36|266566|DB Locks|10.16|10.17|24-NOV-14 08.00.00.000000 AM
37|1|36|266567|DB Streams|0|0|24-NOV-14 08.00.00.000000 AM
