site_id|config_id|run_id|stat_id|stat_name|stat_num_wait|stat_timeout_pct|stat_wait_time|stat_avg_wait|stat_db_time_pct|start_time
37|1|1|266045|Other|19218866|8.38|418903|21.7964473033944874791259796493716122481|20.44|03-OCT-14 08.00.00.000000 AM
37|1|1|266047|Application|4373331|11.44|113437|25.9383522536940377940750425705257617134|5.66|03-OCT-14 08.00.00.000000 AM
37|1|1|266049|Concurrency|5846061|0|11630|1.98937369965862484158136564089906006797|.58|03-OCT-14 08.00.00.000000 AM
37|1|1|266046|Cluster|813251946|0|162613|.19995402507158587235646159769533462635|8.1|03-OCT-14 08.00.00.000000 AM
37|1|1|266048|Commit|7989992|0|13877|1.73679773396519045325702453769665851981|.7|03-OCT-14 08.00.00.000000 AM
37|1|1|266044|User I/O|742422774|.13|655908|.88346966576216585726665760929365025109|32.62|03-OCT-14 08.00.00.000000 AM
37|1|1|266043|DB CPU|||657917||32.81|03-OCT-14 08.00.00.000000 AM
37|1|1|266051|Configuration|84461|31.69|248|2.9362664425000887983803175430080155338|.01|03-OCT-14 08.00.00.000000 AM
37|1|1|266052|Administrative|3232|100|571|176.670792079207920792079207920792079208|.03|03-OCT-14 08.00.00.000000 AM
37|1|1|266050|Network|779959295|0|7071|.009065857725306036643873831902984116626|.35|03-OCT-14 08.00.00.000000 AM
37|1|1|266053|System I/O|260762|0|262|1.00474762427040749802501898282725243709|.01|03-OCT-14 08.00.00.000000 AM
37|1|2|266044|User I/O|947201424|0|898844|.948947053103247868428035640284257005087|31.02|06-OCT-14 08.00.00.000000 AM
37|1|2|266048|Commit|9188650|0|22105|2.40568527476832831808807605034471875629|.78|06-OCT-14 08.00.00.000000 AM
37|1|2|266051|Configuration|112996|27.25|334|2.95585684449007044497150341605012566817|.01|06-OCT-14 08.00.00.000000 AM
37|1|2|266052|Administrative|98|100|18|183.673469387755102040816326530612244898|0|06-OCT-14 08.00.00.000000 AM
37|1|2|266045|Other|23107798|7.81|695002|30.0765135648147867659220493445545958122|23.32|06-OCT-14 08.00.00.000000 AM
37|1|2|266049|Concurrency|11030268|0|19784|1.79361009179468712818219829291545772052|.68|06-OCT-14 08.00.00.000000 AM
37|1|2|266050|Network|984640375|0|9614|.009763970932026832639277055848943833935|.33|06-OCT-14 08.00.00.000000 AM
37|1|2|266047|Application|4115328|28.63|115552|28.0784423501601816428726944729557401014|4|06-OCT-14 08.00.00.000000 AM
37|1|2|266053|System I/O|218317|0|343|1.57110989982456702867848129096680515031|.01|06-OCT-14 08.00.00.000000 AM
37|1|2|266043|DB CPU|||883210||30.52|06-OCT-14 08.00.00.000000 AM
37|1|2|266046|Cluster|1013735084|0|302316|.298219924289411295545138694242923134344|10.44|06-OCT-14 08.00.00.000000 AM
37|1|4|266045|Other|20346744|4.88|679974|33.4193028624137601573991396362975815688|24.24|08-OCT-14 08.00.00.000000 AM
37|1|4|266047|Application|3874097|16.81|121874|31.4586857272804475468735036835680676039|4.46|08-OCT-14 08.00.00.000000 AM
37|1|4|266052|Administrative|109|100|17|155.963302752293577981651376146788990826|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266048|Commit|8750782|0|20045|2.29065242397765136875767217146993263002|.74|08-OCT-14 08.00.00.000000 AM
37|1|4|266044|User I/O|925237407|0|848076|.916603666890005021165340756699431630308|30.99|08-OCT-14 08.00.00.000000 AM
37|1|4|266051|Configuration|112800|30.44|366|3.2446808510638297872340425531914893617|.01|08-OCT-14 08.00.00.000000 AM
37|1|4|266049|Concurrency|9630517|0|20368|2.11494356948853317012991099024071085696|.74|08-OCT-14 08.00.00.000000 AM
37|1|4|266043|DB CPU|||839930||30.72|08-OCT-14 08.00.00.000000 AM
37|1|4|266046|Cluster|945624734|0|239431|.253198749346588051492316401275519089796|8.75|08-OCT-14 08.00.00.000000 AM
37|1|4|266050|Network|981124790|0|9399|.00957982113569875244921698492604595181|.34|08-OCT-14 08.00.00.000000 AM
37|1|4|266053|System I/O|158133|0|176|1.1129871690286025054858884609790492813|.01|08-OCT-14 08.00.00.000000 AM
37|1|7|266044|User I/O|908999107|0|853085|.938488270704098722508425962623085393196|31.03|13-OCT-14 08.00.00.000000 AM
37|1|7|266043|DB CPU|||828335||30.17|13-OCT-14 08.00.00.000000 AM
37|1|7|266045|Other|22163002|7.19|670337|30.24576724759579049805617488100213139|23.82|13-OCT-14 08.00.00.000000 AM
37|1|7|266048|Commit|9166524|0|20653|2.25308961172195698173047929618686429011|.76|13-OCT-14 08.00.00.000000 AM
37|1|7|266046|Cluster|1024536334|0|275941|.269332566198672266902737292282305724455|10.05|13-OCT-14 08.00.00.000000 AM
37|1|7|266049|Concurrency|9755430|0|17115|1.75440754533628963561831718335327094756|.63|13-OCT-14 08.00.00.000000 AM
37|1|7|266047|Application|4017876|21.44|119164|29.6584563585337128373299723535519762183|4.33|13-OCT-14 08.00.00.000000 AM
37|1|7|266050|Network|984473829|0|9480|.009629509409741759625790925926178175733|.35|13-OCT-14 08.00.00.000000 AM
37|1|7|266051|Configuration|101427|25.56|292|2.8789178423891074368757825825470535459|.01|13-OCT-14 08.00.00.000000 AM
37|1|7|266052|Administrative|75|100|10|133.333333333333333333333333333333333333|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266053|System I/O|148991|0|235|1.57727647978736970689504735185346765912|.01|13-OCT-14 08.00.00.000000 AM
37|1|6|266043|DB CPU|||749482||31.23|10-OCT-14 08.00.00.000000 AM
37|1|6|266049|Concurrency|7739205|0|15504|2.00330654117574091912541404446580753449|.65|10-OCT-14 08.00.00.000000 AM
