site_id|config_id|run_id|stat_id|stat_name|stat_rw_persec|stat_r_persec|stat_w_persec|start_time
37|1|5|265453|Total (MB)|320.5125|305.00625|15.5125|09-OCT-14 08.00.00.000000 AM
37|1|5|265454|Database (MB)|306.26875|298.5875|7.68125|09-OCT-14 08.00.00.000000 AM
37|1|5|265458|Via Buffer Cache (blocks)|17614.9|16719.48125|895.41875|09-OCT-14 08.00.00.000000 AM
37|1|4|265449|Total Requests|11414.54375|10123.425|1291.13125|08-OCT-14 08.00.00.000000 AM
37|1|4|265455|Optimized Total (MB)|221.26875|221.26875|0|08-OCT-14 08.00.00.000000 AM
37|1|4|265456|Redo (MB)|7.71875|2.575|5.1375|08-OCT-14 08.00.00.000000 AM
37|1|4|265451|Optimized Requests|10027.05625|10027.05625|0|08-OCT-14 08.00.00.000000 AM
37|1|4|265457|Database (blocks)|32800.65625|31793.7375|1006.93125|08-OCT-14 08.00.00.000000 AM
37|1|4|265458|Via Buffer Cache (blocks)|11580.69375|10664.25625|916.425|08-OCT-14 08.00.00.000000 AM
37|1|4|265453|Total (MB)|269.925|254.26875|15.65625|08-OCT-14 08.00.00.000000 AM
37|1|4|265454|Database (MB)|256.25625|248.3875|7.875|08-OCT-14 08.00.00.000000 AM
37|1|4|265450|Database Requests|10815.86875|10085|730.875|08-OCT-14 08.00.00.000000 AM
37|1|4|265452|Redo Requests|552.65|2.59375|550.0625|08-OCT-14 08.00.00.000000 AM
37|1|4|265459|Direct (blocks)|21219.96875|21129.4625|90.50625|08-OCT-14 08.00.00.000000 AM
37|1|7|265449|Total Requests|12133.63125|10797.5875|1336.0375|13-OCT-14 08.00.00.000000 AM
37|1|7|265451|Optimized Requests|10706.9375|10706.9375|0|13-OCT-14 08.00.00.000000 AM
37|1|7|265452|Redo Requests|567.90625|2.6125|565.2875|13-OCT-14 08.00.00.000000 AM
37|1|7|265455|Optimized Total (MB)|263.50625|263.50625|0|13-OCT-14 08.00.00.000000 AM
37|1|7|265458|Via Buffer Cache (blocks)|15030.0875|14083.2125|946.875|13-OCT-14 08.00.00.000000 AM
37|1|7|265454|Database (MB)|292.025|283.98125|8.0375|13-OCT-14 08.00.00.000000 AM
37|1|7|265459|Direct (blocks)|22347.34375|22266.2375|81.1125|13-OCT-14 08.00.00.000000 AM
37|1|7|265456|Redo (MB)|7.7125|2.6|5.125|13-OCT-14 08.00.00.000000 AM
37|1|7|265450|Database Requests|11518.73125|10758.225|760.50625|13-OCT-14 08.00.00.000000 AM
37|1|7|265453|Total (MB)|306.2875|290.44375|15.84375|13-OCT-14 08.00.00.000000 AM
37|1|7|265457|Database (blocks)|37377.43125|36349.45625|1027.99375|13-OCT-14 08.00.00.000000 AM
37|1|11|265449|Total Requests|11255.8375|10025.40625|1230.44375|17-OCT-14 08.00.00.000000 AM
37|1|11|265456|Redo (MB)|7.2|2.425|4.775|17-OCT-14 08.00.00.000000 AM
37|1|11|265457|Database (blocks)|36996.2625|36051.84375|944.40625|17-OCT-14 08.00.00.000000 AM
37|1|11|265454|Database (MB)|289.04375|281.6625|7.375|17-OCT-14 08.00.00.000000 AM
37|1|11|265450|Database Requests|10688.675|9985.925|702.75|17-OCT-14 08.00.00.000000 AM
37|1|11|265458|Via Buffer Cache (blocks)|15619.55|14758.55625|860.98125|17-OCT-14 08.00.00.000000 AM
37|1|11|265453|Total (MB)|302.38125|287.6875|14.68125|17-OCT-14 08.00.00.000000 AM
37|1|11|265455|Optimized Total (MB)|254.58125|254.58125|0|17-OCT-14 08.00.00.000000 AM
37|1|11|265459|Direct (blocks)|21376.725|21293.2875|83.43125|17-OCT-14 08.00.00.000000 AM
37|1|11|265452|Redo Requests|520.25625|2.44375|517.8|17-OCT-14 08.00.00.000000 AM
37|1|11|265451|Optimized Requests|9924.70625|9924.70625|0|17-OCT-14 08.00.00.000000 AM
37|1|12|265452|Redo Requests|599.01875|2.6875|596.325|20-OCT-14 08.00.00.000000 AM
37|1|12|265456|Redo (MB)|8.04375|2.6625|5.4|20-OCT-14 08.00.00.000000 AM
37|1|12|265449|Total Requests|12649.4125|11287.18125|1362.24375|20-OCT-14 08.00.00.000000 AM
37|1|12|265457|Database (blocks)|35812.4875|34770.71875|1041.79375|20-OCT-14 08.00.00.000000 AM
37|1|12|265451|Optimized Requests|11192.525|11192.525|0|20-OCT-14 08.00.00.000000 AM
37|1|12|265453|Total (MB)|294.21875|277.9375|16.275|20-OCT-14 08.00.00.000000 AM
37|1|12|265454|Database (MB)|279.775|271.64375|8.14375|20-OCT-14 08.00.00.000000 AM
37|1|12|265455|Optimized Total (MB)|247.75625|247.75625|0|20-OCT-14 08.00.00.000000 AM
37|1|12|265459|Direct (blocks)|19212.14375|19118.73125|93.4|20-OCT-14 08.00.00.000000 AM
37|1|12|265450|Database Requests|12009.29375|11251.80625|757.50625|20-OCT-14 08.00.00.000000 AM
37|1|12|265458|Via Buffer Cache (blocks)|16600.38125|15651.96875|948.4|20-OCT-14 08.00.00.000000 AM
37|1|9|265454|Database (MB)|283.35|275.34375|8|15-OCT-14 08.00.00.000000 AM
37|1|9|265459|Direct (blocks)|22635.4375|22549.94375|85.5|15-OCT-14 08.00.00.000000 AM
