site_id|config_id|run_id|stat_id|stat_name|stat_alloc|stat_used|stat_avg_alloc|stat_num_proc|stat_num_alloc|start_time
37|1|9|266690|JAVA|1071.47|1003.511875|3.450625|310.5625|310.5625|15-OCT-14 08.00.00.000000 AM
37|1|9|266687|Other|23995.121875||29.26375|820.125|819.3125|15-OCT-14 08.00.00.000000 AM
37|1|8|266688|PL/SQL|3103.825|46.674375|3.845625|807.5|806.5|14-OCT-14 08.00.00.000000 AM
37|1|8|266690|JAVA|1034.42625|978.895|3.378125|306.0625|306.0625|14-OCT-14 08.00.00.000000 AM
37|1|8|266691|SQL|446.023125|36.235625|.595625|749.6875|735.875|14-OCT-14 08.00.00.000000 AM
37|1|8|266689|Freeable|2095.5175|0|2.930625|714.75|714.75|14-OCT-14 08.00.00.000000 AM
37|1|8|266687|Other|22790.815||28.236875|807.1875|806.375|14-OCT-14 08.00.00.000000 AM
37|1|10|266689|Freeable|2215.1175|0|2.98125|743.375|743.375|16-OCT-14 08.00.00.000000 AM
37|1|10|266687|Other|24545.616875||29.419375|834.5625|833.75|16-OCT-14 08.00.00.000000 AM
37|1|10|266690|JAVA|1107.275625|1027.8925|3.510625|315.375|315.375|16-OCT-14 08.00.00.000000 AM
37|1|10|266691|SQL|439.4475|28.068125|.565|777.125|763.375|16-OCT-14 08.00.00.000000 AM
37|1|10|266688|PL/SQL|3240.441875|35.951875|3.8825|834.875|833.9375|16-OCT-14 08.00.00.000000 AM
37|1|17|266687|Other|25426.709375||30.798125|825.6875|825.6875|27-OCT-14 08.00.00.000000 AM
37|1|17|266690|JAVA|1141.999375|1074.215625|3.561875|320.5|320.5|27-OCT-14 08.00.00.000000 AM
37|1|17|266688|PL/SQL|3114.29125|84.404375|3.77125|825.6875|823.6875|27-OCT-14 08.00.00.000000 AM
37|1|17|266689|Freeable|2323.82125|0|3.084375|753.25|753.25|27-OCT-14 08.00.00.000000 AM
37|1|17|266691|SQL|430.73125|40.415|.561875|766.75|755.0625|27-OCT-14 08.00.00.000000 AM
37|1|16|266690|JAVA|1151.40125|1093.839375|3.56|323.375|323.375|24-OCT-14 08.00.00.000000 AM
37|1|16|266691|SQL|425.023125|28.086875|.54125|786.125|775.3125|24-OCT-14 08.00.00.000000 AM
37|1|16|266689|Freeable|2290.1375|0|3.0025|763|763|24-OCT-14 08.00.00.000000 AM
37|1|16|266688|PL/SQL|3252.681875|34.768125|3.84875|845.0625|844.25|24-OCT-14 08.00.00.000000 AM
37|1|16|266687|Other|24682.430625||29.213125|845.125|845.125|24-OCT-14 08.00.00.000000 AM
37|1|13|266691|SQL|428.44875|32.785|.568125|754.1875|743.625|21-OCT-14 08.00.00.000000 AM
37|1|13|266688|PL/SQL|3130.314375|45.031875|3.85|813.625|813|21-OCT-14 08.00.00.000000 AM
37|1|13|266689|Freeable|2143.4425|0|2.93375|730.75|730.75|21-OCT-14 08.00.00.000000 AM
37|1|13|266690|JAVA|1091.33375|1070.059375|3.450625|316.3125|316.3125|21-OCT-14 08.00.00.000000 AM
37|1|13|266687|Other|23470.73||28.853125|813.625|813.625|21-OCT-14 08.00.00.000000 AM
