site_id|config_id|run_id|stat_id|stat_pool|stat_name|stat_begin_mb|stat_end_mb|stat_diff_pct|start_time
37|1|6|266707|shared|FileOpenBlock|756.4|756.46|.01|10-OCT-14 08.00.00.000000 AM
37|1|6|266715|shared|gcs resources|282.51|282.51|0|10-OCT-14 08.00.00.000000 AM
37|1|6|267158|shared|KGLHD|70.89|82.35|2222212.75|10-OCT-14 08.00.00.000000 AM
37|1|6|266701|java|JOXLE|24.68|24.67|-.07|10-OCT-14 08.00.00.000000 AM
37|1|6|266714|shared|gcs dynamic s|131.07|131.07|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266717|shared|ges enqueues|142.39|142.39|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266705|shared|ASM extent pointer array|1315.32|1315.31|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266718|shared|init_heap_kfsg|194.37|194.39|.01|10-OCT-14 08.00.00.000000 AM
37|1|6|266719|shared|kcbi io desc slot|371.14|371.12|-.01|10-OCT-14 08.00.00.000000 AM
37|1|6|268208|shared|kglsim object batch|92.46|92.61|.16|10-OCT-14 08.00.00.000000 AM
37|1|6|266703|large|free memory|383.63|383.63|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266721|Other|buffer_cache|9572|9568|-.04|10-OCT-14 08.00.00.000000 AM
37|1|6|266722|Other|fixed_sga|2.16|2.16|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266708|shared|KGLH0|898.89|921.03|2.45|10-OCT-14 08.00.00.000000 AM
37|1|6|266712|shared|db_block_hash_buckets|89|89|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266713|shared|free memory|277.5|272.88|-.04|10-OCT-14 08.00.00.000000 AM
37|1|6|267355|shared|ges resource|128.28|128.28|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266709|shared|KKSSP|207.61|208.39|.38|10-OCT-14 08.00.00.000000 AM
37|1|6|266710|shared|KTSL subheap|890.32|890.71|.04|10-OCT-14 08.00.00.000000 AM
37|1|6|266711|shared|SQLA|1270.68|1248.97|-1.62|10-OCT-14 08.00.00.000000 AM
37|1|6|266716|shared|gcs shadows|195.59|195.59|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266720|streams|free memory|392|392|0|10-OCT-14 08.00.00.000000 AM
37|1|6|266723|Other|log_buffer|60.11|60.11|0|10-OCT-14 08.00.00.000000 AM
37|1|6|267290|shared|SQLP|35.2|89.86|6666663.39|10-OCT-14 08.00.00.000000 AM
37|1|3|266705|shared|ASM extent pointer array|1301.42|1301.42|0|07-OCT-14 08.00.00.000000 AM
37|1|3|267290|shared|SQLP|59.06|72.7|3999976.52|07-OCT-14 08.00.00.000000 AM
37|1|3|266717|shared|ges enqueues|142.38|142.38|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266722|Other|fixed_sga|2.16|2.16|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266704|shared|ASH buffers|254|254|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266708|shared|KGLH0|875.66|903.75|3.32|07-OCT-14 08.00.00.000000 AM
37|1|3|266719|shared|kcbi io desc slot|368.38|368.96|.16|07-OCT-14 08.00.00.000000 AM
37|1|3|266706|shared|Checkpoint queue|210.95|210.95|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266716|shared|gcs shadows|195.59|195.59|0|07-OCT-14 08.00.00.000000 AM
37|1|3|267158|shared|KGLHD|46.47|92.39|5000000.9|07-OCT-14 08.00.00.000000 AM
37|1|3|267355|shared|ges resource|128.28|128.28|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266703|large|free memory|383.63|383.63|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266713|shared|free memory|259.82|254.35|-.77|07-OCT-14 08.00.00.000000 AM
37|1|3|266714|shared|gcs dynamic s|131.07|131.07|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266721|Other|buffer_cache|9612|9612|0|07-OCT-14 08.00.00.000000 AM
37|1|3|268208|shared|kglsim object batch|89.08|89.26|.2|07-OCT-14 08.00.00.000000 AM
37|1|3|266702|java|free memory|358.49|358.51|.01|07-OCT-14 08.00.00.000000 AM
37|1|3|266715|shared|gcs resources|282.51|282.51|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266723|Other|log_buffer|60.11|60.11|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266701|java|JOXLE|24.72|24.7|-.07|07-OCT-14 08.00.00.000000 AM
37|1|3|266707|shared|FileOpenBlock|756.16|756.16|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266709|shared|KKSSP|198.64|201.63|1.5|07-OCT-14 08.00.00.000000 AM
37|1|3|266710|shared|KTSL subheap|885.95|885.95|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266711|shared|SQLA|1304.31|1272.48|-2.37|07-OCT-14 08.00.00.000000 AM
37|1|3|266712|shared|db_block_hash_buckets|89|89|0|07-OCT-14 08.00.00.000000 AM
37|1|3|266718|shared|init_heap_kfsg|193.7|193.72|.01|07-OCT-14 08.00.00.000000 AM
37|1|3|266720|streams|free memory|392|392|0|07-OCT-14 08.00.00.000000 AM
37|1|5|266704|shared|ASH buffers|254|254|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266709|shared|KKSSP|205.52|206.37|.42|09-OCT-14 08.00.00.000000 AM
37|1|5|267158|shared|KGLHD|35.16|93.52|6250001.68|09-OCT-14 08.00.00.000000 AM
37|1|5|266701|java|JOXLE|24.7|24.68|-.07|09-OCT-14 08.00.00.000000 AM
37|1|5|266705|shared|ASM extent pointer array|1310.69|1310.68|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266707|shared|FileOpenBlock|756.16|756.16|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266708|shared|KGLH0|868.48|905.38|4.3|09-OCT-14 08.00.00.000000 AM
37|1|5|266712|shared|db_block_hash_buckets|89|89|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266713|shared|free memory|297.22|257.8|-10.74|09-OCT-14 08.00.00.000000 AM
37|1|5|266720|streams|free memory|392|392|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266723|Other|log_buffer|60.11|60.11|0|09-OCT-14 08.00.00.000000 AM
37|1|5|267290|shared|SQLP|48.65|92.61|5000000.45|09-OCT-14 08.00.00.000000 AM
37|1|5|266706|shared|Checkpoint queue|210.95|210.95|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266718|shared|init_heap_kfsg|194.12|194.13|.01|09-OCT-14 08.00.00.000000 AM
37|1|5|266710|shared|KTSL subheap|888.6|888.6|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266719|shared|kcbi io desc slot|371.05|371|-.01|09-OCT-14 08.00.00.000000 AM
37|1|5|268208|shared|kglsim object batch|91.39|91.53|.15|09-OCT-14 08.00.00.000000 AM
37|1|5|266703|large|free memory|383.63|383.63|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266716|shared|gcs shadows|195.59|195.59|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266721|Other|buffer_cache|9588|9588|0|09-OCT-14 08.00.00.000000 AM
37|1|5|267355|shared|ges resource|128.28|128.28|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266711|shared|SQLA|1272.22|1267.45|-.33|09-OCT-14 08.00.00.000000 AM
37|1|5|266717|shared|ges enqueues|142.39|142.39|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266702|java|free memory|358.51|358.52|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266714|shared|gcs dynamic s|131.07|131.07|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266715|shared|gcs resources|282.51|282.51|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266722|Other|fixed_sga|2.16|2.16|0|09-OCT-14 08.00.00.000000 AM
37|1|4|266705|shared|ASM extent pointer array|1301.42|1301.44|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266722|Other|fixed_sga|2.16|2.16|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266703|large|free memory|383.63|383.63|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266713|shared|free memory|267.92|261.75|-.61|08-OCT-14 08.00.00.000000 AM
37|1|4|266719|shared|kcbi io desc slot|370.16|370.32|.04|08-OCT-14 08.00.00.000000 AM
37|1|4|267158|shared|KGLHD|51.83|92.55|4444445.64|08-OCT-14 08.00.00.000000 AM
37|1|4|268208|shared|kglsim object batch|90.19|90.36|.18|08-OCT-14 08.00.00.000000 AM
37|1|4|266712|shared|db_block_hash_buckets|89|89|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266716|shared|gcs shadows|195.59|195.59|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266718|shared|init_heap_kfsg|193.89|193.91|.01|08-OCT-14 08.00.00.000000 AM
37|1|4|266701|java|JOXLE|24.67|24.69|.07|08-OCT-14 08.00.00.000000 AM
37|1|4|266717|shared|ges enqueues|142.38|142.38|0|08-OCT-14 08.00.00.000000 AM
37|1|4|267290|shared|SQLP|67.17|92.29|2857142.93|08-OCT-14 08.00.00.000000 AM
37|1|4|266702|java|free memory|358.54|358.52|0|08-OCT-14 08.00.00.000000 AM
37|1|4|267355|shared|ges resource|128.28|128.28|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266709|shared|KKSSP|202.79|203.59|.4|08-OCT-14 08.00.00.000000 AM
37|1|4|266714|shared|gcs dynamic s|131.07|131.07|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266715|shared|gcs resources|282.51|282.51|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266723|Other|log_buffer|60.11|60.11|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266706|shared|Checkpoint queue|210.95|210.95|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266711|shared|SQLA|1305.76|1285.49|-1.5|08-OCT-14 08.00.00.000000 AM
37|1|4|266704|shared|ASH buffers|254|254|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266707|shared|FileOpenBlock|756.16|756.16|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266708|shared|KGLH0|867.9|887.31|2.27|08-OCT-14 08.00.00.000000 AM
37|1|4|266710|shared|KTSL subheap|886.37|886.37|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266720|streams|free memory|392|392|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266721|Other|buffer_cache|9608|9608|0|08-OCT-14 08.00.00.000000 AM
37|1|7|266715|shared|gcs resources|282.51|282.51|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266717|shared|ges enqueues|142.41|142.41|0|13-OCT-14 08.00.00.000000 AM
