site_id|config_id|run_id|stat_id|stat_name|stat_alloc|stat_used|stat_avg_alloc|stat_num_proc|stat_num_alloc|start_time
37|1|9|266693|PL/SQL|3221.315625|38.18625|3.78125|852.25|851.625|15-OCT-14 08.00.00.000000 AM
37|1|9|266694|Freeable|2363.013125|0|3.135|754.25|754.25|15-OCT-14 08.00.00.000000 AM
37|1|8|266695|JAVA|1040.431875|983.92125|3.38875|306.875|306.875|14-OCT-14 08.00.00.000000 AM
37|1|8|266692|Other|24794.023125||30.7075|807.5|806.6875|14-OCT-14 08.00.00.000000 AM
37|1|8|266694|Freeable|2200.066875|0|3.073125|716|716|14-OCT-14 08.00.00.000000 AM
37|1|8|266693|PL/SQL|3135.91|40.976875|3.881875|807.9375|806.9375|14-OCT-14 08.00.00.000000 AM
37|1|8|266696|SQL|423.883125|29.428125|.56625|750|736.0625|14-OCT-14 08.00.00.000000 AM
37|1|10|266695|JAVA|1108.1675|1027.7625|3.513125|315.5|315.5|16-OCT-14 08.00.00.000000 AM
37|1|10|266694|Freeable|2349.606875|0|3.153125|745.3125|745.3125|16-OCT-14 08.00.00.000000 AM
37|1|10|266693|PL/SQL|3266.963125|36.65625|3.96|825.4375|824.4375|16-OCT-14 08.00.00.000000 AM
37|1|10|266696|SQL|428.92|26.9225|.55875|767.8125|754|16-OCT-14 08.00.00.000000 AM
37|1|10|266692|Other|26419.406875||32.035625|824.9375|824.125|16-OCT-14 08.00.00.000000 AM
37|1|17|266692|Other|27861.3375||32.39125|860.375|860.375|27-OCT-14 08.00.00.000000 AM
37|1|17|266693|PL/SQL|3152.94375|70.21|3.665625|860.375|859.75|27-OCT-14 08.00.00.000000 AM
37|1|17|266694|Freeable|2425.630625|0|3.159375|767.875|767.875|27-OCT-14 08.00.00.000000 AM
37|1|17|266695|JAVA|1147.383125|1078.22875|3.571875|321.1875|321.1875|27-OCT-14 08.00.00.000000 AM
37|1|17|266696|SQL|430.525|27.348125|.53625|801.5|790.8125|27-OCT-14 08.00.00.000000 AM
37|1|16|266692|Other|26303.918125||31.169375|844.0625|844.0625|24-OCT-14 08.00.00.000000 AM
37|1|16|266696|SQL|417.063125|26.205|.5325|785.125|774.8125|24-OCT-14 08.00.00.000000 AM
