site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_wait_cnt|stat_avg_tm|start_time
37|1|1|266321|Smart Scan (Data File)|113221875000|177.35|3334456.08|0|0|0|0||03-OCT-14 08.00.00.000000 AM
37|1|1|266326|LGWR (Control File)|193750|.02|0|262500|.02|0|134.9375|.4088|03-OCT-14 08.00.00.000000 AM
37|1|1|266331|TOTAL|202806250000|9443.55|7061219.29|8608750000|1065.66|1223068.75|5407500|.2906|03-OCT-14 08.00.00.000000 AM
37|1|6|266319|Others (Data File)|463125000|12.74|65918.75|32431250|5.57|4506.25|57606.25|.8025|10-OCT-14 08.00.00.000000 AM
37|1|6|266311|Buffer Cache Reads|72939375000|9600.67|2395098.46|0|0|0|6067500|.3194|10-OCT-14 08.00.00.000000 AM
37|1|6|266312|Buffer Cache Reads (Data File)|72939375000|9600.67|2395098.46|0|0|0|6067500|.3194|10-OCT-14 08.00.00.000000 AM
37|1|6|266320|Smart Scan|104683750000|161.15|1209963.94|0|0|0|0||10-OCT-14 08.00.00.000000 AM
37|1|6|266323|DBWR (Data File)|12500|0|0|4450625000|640.19|632468.75|29.9375|.5388|10-OCT-14 08.00.00.000000 AM
37|1|6|266316|Others (Archive Log)|1549375000|2.2|220243.75|1546875000|2.2|219768.75|0||10-OCT-14 08.00.00.000000 AM
37|1|6|266317|Others (Log File)|1546875000|2.21|219793.75|0|0|0|15956.25|12.0588|10-OCT-14 08.00.00.000000 AM
37|1|6|266322|DBWR|12500|0|0|4450625000|640.19|632468.75|29.9375|.5388|10-OCT-14 08.00.00.000000 AM
37|1|6|266324|LGWR|237500|.03|0|3155625000|516.75|448218.75|220|.9431|10-OCT-14 08.00.00.000000 AM
37|1|6|266331|TOTAL|197106875000|10098.6|881337.31|9633750000|1182.68|1369075|6083125|.3225|10-OCT-14 08.00.00.000000 AM
37|1|6|266325|LGWR (Log File)|0|0|0|3155000000|516.73|448168.75|71|2.2438|10-OCT-14 08.00.00.000000 AM
37|1|6|266327|Direct Writes|57481250|.79|7962.5|382500000|11.76|54493.75|15.125|1.3781|10-OCT-14 08.00.00.000000 AM
37|1|6|266330|Streams AQ (Data File)|13333.3333333333333333333333333333333333|0|0|0|0|0|12.6|6.05|10-OCT-14 08.00.00.000000 AM
37|1|6|266318|Others (Control File)|841875000|34.51|119525|65487500|5.82|9093.75|103218.75|.56|10-OCT-14 08.00.00.000000 AM
37|1|6|266326|LGWR (Control File)|237500|.02|0|268750|.03|0|149|.3225|10-OCT-14 08.00.00.000000 AM
37|1|6|266329|Streams AQ|13333.3333333333333333333333333333333333|0|0|0|0|0|12.6|6.05|10-OCT-14 08.00.00.000000 AM
37|1|6|266313|Direct Reads|15893125000|284.28|2258700|3856250|.39|531.25|90.5|1.38|10-OCT-14 08.00.00.000000 AM
37|1|6|266314|Direct Reads (Data File)|15893125000|284.28|2258700|3856250|.39|531.25|90.5|1.38|10-OCT-14 08.00.00.000000 AM
37|1|6|266315|Others|4400625000|51.67|625475|1641875000|13.59|233362.5|176781.25|1.7088|10-OCT-14 08.00.00.000000 AM
37|1|6|266321|Smart Scan (Data File)|104683750000|161.15|1209963.94|0|0|0|0||10-OCT-14 08.00.00.000000 AM
37|1|6|266328|Direct Writes (Data File)|57481250|.79|7962.5|382500000|11.76|54493.75|15.125|1.3781|10-OCT-14 08.00.00.000000 AM
37|1|3|266316|Others (Archive Log)|1753125000|2.5|249412.5|1750000000|2.49|249056.25|0||07-OCT-14 08.00.00.000000 AM
37|1|3|266321|Smart Scan (Data File)|97456875000|149.23|173864.31|0|0|0|0||07-OCT-14 08.00.00.000000 AM
37|1|3|266326|LGWR (Control File)|250000|.02|0|318750|.03|18.75|166.4375|.4106|07-OCT-14 08.00.00.000000 AM
37|1|3|266330|Streams AQ (Data File)|21428.5714285714285714285714285714285714|0|0|0|0|0|22.5714285714285714285714285714285714286|4.8907|07-OCT-14 08.00.00.000000 AM
37|1|3|266314|Direct Reads (Data File)|20079375000|342.2|2856612.5|5112500|.57|718.75|112.8125|1.3913|07-OCT-14 08.00.00.000000 AM
37|1|3|266318|Others (Control File)|845625000|32.82|120312.5|63737500|5.67|8843.75|93962.5|.5925|07-OCT-14 08.00.00.000000 AM
37|1|3|266320|Smart Scan|97456875000|149.23|173864.31|0|0|0|0||07-OCT-14 08.00.00.000000 AM
37|1|3|266312|Buffer Cache Reads (Data File)|79090000000|10192.13|112.52|0|0|0|6367500|.3838|07-OCT-14 08.00.00.000000 AM
37|1|3|266319|Others (Data File)|741875000|14.87|105531.25|35237500|5.87|4893.75|55862.5|.8838|07-OCT-14 08.00.00.000000 AM
37|1|3|266322|DBWR|25000|0|0|5032500000|714.7|715812.5|29.5|.3475|07-OCT-14 08.00.00.000000 AM
37|1|3|266325|LGWR (Log File)|0|.01|0|3512500000|553.74|499600|79|2.6125|07-OCT-14 08.00.00.000000 AM
37|1|3|266328|Direct Writes (Data File)|83912500|1.21|11656.25|425625000|22.61|60531.25|26.6875|8.9456|07-OCT-14 08.00.00.000000 AM
37|1|3|266331|TOTAL|199669375000|10737.5|289.5|10821875000|1305.67|1539512.5|6385000|.3888|07-OCT-14 08.00.00.000000 AM
37|1|3|266317|Others (Log File)|1750000000|2.51|249031.25|0|0|0|18056.25|12.6406|07-OCT-14 08.00.00.000000 AM
37|1|3|266323|DBWR (Data File)|25000|0|0|5032500000|714.7|715812.5|29.5|.3475|07-OCT-14 08.00.00.000000 AM
37|1|3|266315|Others|5090625000|52.69|724287.5|1847500000|14.03|262800|167881.25|2.0131|07-OCT-14 08.00.00.000000 AM
37|1|3|266324|LGWR|250000|.03|0|3512500000|553.76|499656.25|245.4375|1.12|07-OCT-14 08.00.00.000000 AM
37|1|3|266311|Buffer Cache Reads|79090000000|10192.13|112.52|0|0|0|6367500|.3838|07-OCT-14 08.00.00.000000 AM
37|1|3|266313|Direct Reads|20079375000|342.2|2856612.5|5112500|.57|718.75|112.8125|1.3913|07-OCT-14 08.00.00.000000 AM
