site_id|config_id|run_id|stat_id|stat_name|stat_total|start_time
37|1|3|266471|Current Results|57663168|07-OCT-14 08.00.00.000000 AM
37|1|3|266474|Disk Read Results|97704874|07-OCT-14 08.00.00.000000 AM
37|1|3|266468|Data Block Requests|41693195|07-OCT-14 08.00.00.000000 AM
37|1|3|266483|Light Works|1798234|07-OCT-14 08.00.00.000000 AM
37|1|3|266469|Undo Block Requests|680494|07-OCT-14 08.00.00.000000 AM
37|1|3|266467|CURRENT Block Requests|116123679|07-OCT-14 08.00.00.000000 AM
37|1|3|266470|TX Block Requests|5209253|07-OCT-14 08.00.00.000000 AM
37|1|5|266469|Undo Block Requests|771270|09-OCT-14 08.00.00.000000 AM
37|1|5|266477|Fairness Clears|1548618|09-OCT-14 08.00.00.000000 AM
37|1|5|266482|Flush Max Time (us)|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266484|Errors|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266468|Data Block Requests|40658327|09-OCT-14 08.00.00.000000 AM
37|1|5|266473|Zero Results|2092882|09-OCT-14 08.00.00.000000 AM
37|1|5|266476|Fairness Down Converts|19135340|09-OCT-14 08.00.00.000000 AM
37|1|5|266474|Disk Read Results|140351732|09-OCT-14 08.00.00.000000 AM
37|1|5|266480|Flushes Queued|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266466|CR Block Requests|40650476|09-OCT-14 08.00.00.000000 AM
37|1|5|266467|CURRENT Block Requests|160544895|09-OCT-14 08.00.00.000000 AM
37|1|5|266471|Current Results|58511986|09-OCT-14 08.00.00.000000 AM
37|1|5|266483|Light Works|2090705|09-OCT-14 08.00.00.000000 AM
37|1|5|266470|TX Block Requests|4883980|09-OCT-14 08.00.00.000000 AM
37|1|5|266472|Private results|171946|09-OCT-14 08.00.00.000000 AM
37|1|5|266475|Fail Results|53422|09-OCT-14 08.00.00.000000 AM
37|1|5|266478|Free GC Elements|0|09-OCT-14 08.00.00.000000 AM
37|1|5|266479|Flushes|2756034|09-OCT-14 08.00.00.000000 AM
37|1|5|266481|Flush Queue Full|0|09-OCT-14 08.00.00.000000 AM
37|1|4|266472|Private results|198966|08-OCT-14 08.00.00.000000 AM
37|1|4|266478|Free GC Elements|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266482|Flush Max Time (us)|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266483|Light Works|1812588|08-OCT-14 08.00.00.000000 AM
37|1|4|266467|CURRENT Block Requests|129533490|08-OCT-14 08.00.00.000000 AM
37|1|4|266474|Disk Read Results|107384139|08-OCT-14 08.00.00.000000 AM
37|1|4|266475|Fail Results|56683|08-OCT-14 08.00.00.000000 AM
37|1|4|266476|Fairness Down Converts|21406443|08-OCT-14 08.00.00.000000 AM
37|1|4|266473|Zero Results|2857584|08-OCT-14 08.00.00.000000 AM
37|1|4|266466|CR Block Requests|42350531|08-OCT-14 08.00.00.000000 AM
37|1|4|266469|Undo Block Requests|726654|08-OCT-14 08.00.00.000000 AM
37|1|4|266480|Flushes Queued|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266471|Current Results|61374357|08-OCT-14 08.00.00.000000 AM
37|1|4|266484|Errors|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266468|Data Block Requests|42351022|08-OCT-14 08.00.00.000000 AM
37|1|4|266477|Fairness Clears|1630442|08-OCT-14 08.00.00.000000 AM
37|1|4|266481|Flush Queue Full|0|08-OCT-14 08.00.00.000000 AM
37|1|4|266470|TX Block Requests|5089292|08-OCT-14 08.00.00.000000 AM
37|1|4|266479|Flushes|3484995|08-OCT-14 08.00.00.000000 AM
37|1|7|266468|Data Block Requests|42534291|13-OCT-14 08.00.00.000000 AM
