site_id|config_id|run_id|stat_id|stat_name|stat_per_sec|stat_per_trans|start_time
37|1|9|266337|Estd Interconnect traffic (KB)|122298.19||15-OCT-14 08.00.00.000000 AM
37|1|9|266332|Global Cache blocks received|6632.85|19.65|15-OCT-14 08.00.00.000000 AM
37|1|9|266335|GCS/GES messages sent|41404.53|122.67|15-OCT-14 08.00.00.000000 AM
37|1|8|266335|GCS/GES messages sent|41751.67|124.07|14-OCT-14 08.00.00.000000 AM
37|1|8|266336|DBWR Fusion writes|135.21|.4|14-OCT-14 08.00.00.000000 AM
37|1|8|266334|GCS/GES messages received|41759.87|124.08|14-OCT-14 08.00.00.000000 AM
37|1|8|266333|Global Cache blocks served|6718.44|19.96|14-OCT-14 08.00.00.000000 AM
37|1|8|266337|Estd Interconnect traffic (KB)|123806.33||14-OCT-14 08.00.00.000000 AM
37|1|8|266332|Global Cache blocks received|6718.5|19.97|14-OCT-14 08.00.00.000000 AM
37|1|10|266333|Global Cache blocks served|6550.05|19.89|16-OCT-14 08.00.00.000000 AM
37|1|10|266336|DBWR Fusion writes|128.69|.39|16-OCT-14 08.00.00.000000 AM
37|1|10|266332|Global Cache blocks received|6549.08|19.89|16-OCT-14 08.00.00.000000 AM
37|1|10|266334|GCS/GES messages received|41540.42|126.17|16-OCT-14 08.00.00.000000 AM
37|1|10|266335|GCS/GES messages sent|41529.77|126.17|16-OCT-14 08.00.00.000000 AM
37|1|10|266337|Estd Interconnect traffic (KB)|121017.69||16-OCT-14 08.00.00.000000 AM
37|1|17|266332|Global Cache blocks received|6486.96|18.34|27-OCT-14 08.00.00.000000 AM
37|1|17|266333|Global Cache blocks served|6486.72|18.33|27-OCT-14 08.00.00.000000 AM
37|1|17|266334|GCS/GES messages received|41306.55|116.75|27-OCT-14 08.00.00.000000 AM
37|1|17|266335|GCS/GES messages sent|41295.93|116.73|27-OCT-14 08.00.00.000000 AM
37|1|17|266336|DBWR Fusion writes|143.23|.41|27-OCT-14 08.00.00.000000 AM
37|1|17|266337|Estd Interconnect traffic (KB)|119922.72||27-OCT-14 08.00.00.000000 AM
37|1|16|266336|DBWR Fusion writes|115.86|.38|24-OCT-14 08.00.00.000000 AM
37|1|16|266333|Global Cache blocks served|5348.03|17.46|24-OCT-14 08.00.00.000000 AM
37|1|16|266332|Global Cache blocks received|5347.8|17.46|24-OCT-14 08.00.00.000000 AM
37|1|16|266334|GCS/GES messages received|35753.6|116.74|24-OCT-14 08.00.00.000000 AM
37|1|16|266335|GCS/GES messages sent|35743.68|116.71|24-OCT-14 08.00.00.000000 AM
37|1|16|266337|Estd Interconnect traffic (KB)|99530.91||24-OCT-14 08.00.00.000000 AM
37|1|13|266334|GCS/GES messages received|38873.3|110.16|21-OCT-14 08.00.00.000000 AM
37|1|13|266332|Global Cache blocks received|5930.55|16.8|21-OCT-14 08.00.00.000000 AM
37|1|13|266336|DBWR Fusion writes|128.78|.36|21-OCT-14 08.00.00.000000 AM
37|1|13|266337|Estd Interconnect traffic (KB)|110067.52||21-OCT-14 08.00.00.000000 AM
37|1|13|266335|GCS/GES messages sent|38864.93|110.12|21-OCT-14 08.00.00.000000 AM
37|1|13|266333|Global Cache blocks served|5929.98|16.8|21-OCT-14 08.00.00.000000 AM
37|1|14|266336|DBWR Fusion writes|119.96|.36|22-OCT-14 08.00.00.000000 AM
37|1|14|266333|Global Cache blocks served|5416.52|16.13|22-OCT-14 08.00.00.000000 AM
37|1|14|266335|GCS/GES messages sent|35463.96|105.63|22-OCT-14 08.00.00.000000 AM
37|1|14|266334|GCS/GES messages received|35475.49|105.66|22-OCT-14 08.00.00.000000 AM
37|1|14|266332|Global Cache blocks received|5415.87|16.13|22-OCT-14 08.00.00.000000 AM
37|1|14|266337|Estd Interconnect traffic (KB)|100514.43||22-OCT-14 08.00.00.000000 AM
37|1|15|266332|Global Cache blocks received|5493.55|17.04|23-OCT-14 08.00.00.000000 AM
37|1|15|266336|DBWR Fusion writes|125.52|.39|23-OCT-14 08.00.00.000000 AM
37|1|15|266334|GCS/GES messages received|36666.18|113.75|23-OCT-14 08.00.00.000000 AM
37|1|15|266333|Global Cache blocks served|5493.71|17.04|23-OCT-14 08.00.00.000000 AM
37|1|15|266335|GCS/GES messages sent|36657.78|113.73|23-OCT-14 08.00.00.000000 AM
37|1|15|266337|Estd Interconnect traffic (KB)|102219.21||23-OCT-14 08.00.00.000000 AM
37|1|21|266334|GCS/GES messages received|35975.63|110.34|31-OCT-14 08.00.00.000000 AM
37|1|21|266333|Global Cache blocks served|5463.29|16.75|31-OCT-14 08.00.00.000000 AM
37|1|21|266335|GCS/GES messages sent|35967.27|110.36|31-OCT-14 08.00.00.000000 AM
37|1|21|266336|DBWR Fusion writes|117.07|.36|31-OCT-14 08.00.00.000000 AM
37|1|21|266337|Estd Interconnect traffic (KB)|101463.84||31-OCT-14 08.00.00.000000 AM
37|1|21|266332|Global Cache blocks received|5463.27|16.76|31-OCT-14 08.00.00.000000 AM
37|1|19|266336|DBWR Fusion writes|135.89|.38|29-OCT-14 08.00.00.000000 AM
37|1|19|266332|Global Cache blocks received|6172.6|17.34|29-OCT-14 08.00.00.000000 AM
37|1|19|266335|GCS/GES messages sent|39358.01|110.59|29-OCT-14 08.00.00.000000 AM
37|1|19|266334|GCS/GES messages received|39370.32|110.62|29-OCT-14 08.00.00.000000 AM
37|1|19|266337|Estd Interconnect traffic (KB)|114140.24||29-OCT-14 08.00.00.000000 AM
37|1|19|266333|Global Cache blocks served|6172.85|17.35|29-OCT-14 08.00.00.000000 AM
37|1|18|266336|DBWR Fusion writes|137.5|.39|28-OCT-14 08.00.00.000000 AM
37|1|18|266333|Global Cache blocks served|6214.28|17.8|28-OCT-14 08.00.00.000000 AM
37|1|18|266335|GCS/GES messages sent|40075.05|114.8|28-OCT-14 08.00.00.000000 AM
37|1|18|266332|Global Cache blocks received|6213.64|17.8|28-OCT-14 08.00.00.000000 AM
37|1|18|266337|Estd Interconnect traffic (KB)|115080.14||28-OCT-14 08.00.00.000000 AM
37|1|18|266334|GCS/GES messages received|40087.43|114.83|28-OCT-14 08.00.00.000000 AM
37|1|20|266336|DBWR Fusion writes|141.6|.41|30-OCT-14 08.00.00.000000 AM
37|1|20|266337|Estd Interconnect traffic (KB)|113185.58||30-OCT-14 08.00.00.000000 AM
37|1|20|266333|Global Cache blocks served|6116.95|17.53|30-OCT-14 08.00.00.000000 AM
37|1|20|266334|GCS/GES messages received|39213.27|112.35|30-OCT-14 08.00.00.000000 AM
37|1|20|266335|GCS/GES messages sent|39202.84|112.33|30-OCT-14 08.00.00.000000 AM
37|1|20|266332|Global Cache blocks received|6116.8|17.53|30-OCT-14 08.00.00.000000 AM
37|1|22|266334|GCS/GES messages received|40173.47|113.32|03-NOV-14 08.00.00.000000 AM
37|1|22|266336|DBWR Fusion writes|134.17|.38|03-NOV-14 08.00.00.000000 AM
37|1|22|266333|Global Cache blocks served|6164.69|17.39|03-NOV-14 08.00.00.000000 AM
