site_id|config_id|run_id|stat_id|stat_name|stat_value|stat_end_value|start_time
37|1|6|266041|TCP_SEND_SIZE_MAX|4194304||10-OCT-14 08.00.00.000000 AM
37|1|6|266031|PHYSICAL_MEMORY_BYTES|101178621952||10-OCT-14 08.00.00.000000 AM
37|1|6|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||10-OCT-14 08.00.00.000000 AM
37|1|6|266024|NICE_TIME|0||10-OCT-14 08.00.00.000000 AM
37|1|6|266028|RSRC_MGR_CPU_WAIT_TIME|0||10-OCT-14 08.00.00.000000 AM
37|1|6|266030|VM_OUT_BYTES|0||10-OCT-14 08.00.00.000000 AM
37|1|6|266039|TCP_RECEIVE_SIZE_MIN|4096||10-OCT-14 08.00.00.000000 AM
37|1|6|266040|TCP_SEND_SIZE_DEFAULT|16384||10-OCT-14 08.00.00.000000 AM
37|1|3|266028|RSRC_MGR_CPU_WAIT_TIME|0||07-OCT-14 08.00.00.000000 AM
37|1|3|266041|TCP_SEND_SIZE_MAX|4194304||07-OCT-14 08.00.00.000000 AM
37|1|3|266042|TCP_SEND_SIZE_MIN|4096||07-OCT-14 08.00.00.000000 AM
37|1|3|266027|LOAD|4.5|3.63|07-OCT-14 08.00.00.000000 AM
37|1|3|266021|BUSY_TIME|7377692.31||07-OCT-14 08.00.00.000000 AM
37|1|3|266022|IDLE_TIME|9420777.06||07-OCT-14 08.00.00.000000 AM
37|1|3|266024|NICE_TIME|0||07-OCT-14 08.00.00.000000 AM
37|1|3|266025|SYS_TIME|1166701.25||07-OCT-14 08.00.00.000000 AM
37|1|3|266026|USER_TIME|5843264.38||07-OCT-14 08.00.00.000000 AM
37|1|3|266039|TCP_RECEIVE_SIZE_MIN|4096||07-OCT-14 08.00.00.000000 AM
37|1|3|266030|VM_OUT_BYTES|0||07-OCT-14 08.00.00.000000 AM
37|1|3|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||07-OCT-14 08.00.00.000000 AM
37|1|3|266036|GLOBAL_SEND_SIZE_MAX|2097152||07-OCT-14 08.00.00.000000 AM
37|1|3|266040|TCP_SEND_SIZE_DEFAULT|16384||07-OCT-14 08.00.00.000000 AM
37|1|3|266031|PHYSICAL_MEMORY_BYTES|101178621952||07-OCT-14 08.00.00.000000 AM
37|1|3|266038|TCP_RECEIVE_SIZE_MAX|6291456||07-OCT-14 08.00.00.000000 AM
37|1|3|266032|NUM_CPUS|24||07-OCT-14 08.00.00.000000 AM
37|1|3|266034|NUM_CPU_SOCKETS|2||07-OCT-14 08.00.00.000000 AM
37|1|3|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||07-OCT-14 08.00.00.000000 AM
37|1|3|266023|IOWAIT_TIME|2168.5||07-OCT-14 08.00.00.000000 AM
